Index,Number,Type,Obj,Date,Other
01,107-1-1079,17,N,2018-12-06,N
02,107-1-1073,17,N,2018-12-06,N
03,107-1-1070,17,N,2018-12-06,N
04,107-1-1068,17,N,2018-12-06,N
05,107-1-1066,17,N,2018-12-06,N
06,107-1-1064,17,N,2018-12-06,N
07,107-1-1050,17,N,2018-12-06,N
08,107-1-1049,17,N,2018-12-06,N
09,107-1-1048,17,N,2018-12-06,N
10,107-1-1047,17,N,2018-12-06,N
11,107-1-1046,17,N,2018-12-06,N
12,107-1-1033,17,N,2018-12-06,N
13,107-1-1032,17,N,2018-12-06,N
14,107-1-1031,17,N,2018-12-06,N
15,107-1-1030,17,N,2018-12-06,N
16,107-1-1029,17,N,2018-12-06,N
17,107-1-1028,17,N,2018-12-06,N
18,107-1-1027,17,N,2018-12-06,N
19,107-1-1026,17,N,2018-12-06,N
20,107-1-1025,17,N,2018-12-06,N
21,107-1-1364,12,Charger,2018-12-04,Black
22,107-1-1363,12,USB-Stick,2018-12-04,N
23,107-1-1362,12,USB-Stick,2018-12-04,Black
24,107-1-1360,12,USB-Stick,2018-12-04,Black
25,107-1-1359,6,Key,2018-12-04,N
26,107-1-1356,16,Card,Case,2018-12-04,Cats
27,107-1-1354,4,Envelope,2018-12-04,N
28,107-1-1353,16,Refernce,Letter,2018-12-04,N
29,107-1-1351,1,Watch,2018-12-04,Black
30,107-1-1350,3,Book,2018-12-04,70,Keys,to,prevent,scam
31,107-1-1347,12,Adapter,2018-12-03,N
32,107-1-1345,5,EasyCard,2018-12-03,N
33,107-1-1342,13,DepositBook,2018-12-02,Chen
34,107-1-1341,17,N,2018-11-30,N
35,107-1-1340,17,N,2018-11-30,N
36,107-1-1335,12,USB-Stick,2018-11-30,Black
37,107-1-1334,12,USB-Stick,2018-11-30,Golden
38,107-1-1333,12,USB-Stick,2018-11-30,Silver
39,107-1-1332,12,USB-Stick,2018-11-30,SilveWhite
40,107-1-1331,12,USB-Stick,2018-11-30,White
41,107-1-1330,16,Photos,2018-11-30,N
42,107-1-1329,16,Glasses,2018-11-30,Black
43,107-1-1323,16,Umbrella,2018-11-30,Blue
44,107-1-1322,16,Umbrella,2018-11-30,Green
45,107-1-1321,16,Umbrella,2018-11-30,Black
46,107-1-1320,2,Cloths,2018-11-30,Black
47,107-1-1318,12,USB-Stick,2018-11-30,White
48,107-1-1317,16,Earphone,2018-11-30,White
49,107-1-1316,16,Earphone,2018-11-30,Black
50,107-1-1315,16,MicrofiberCloth,2018-11-30,Blue

